open,high,low,close,volume,trades,timestamp,ret_1,ret_5,ret_15,ret_30,ret_60,ret_90,vol_15,vol_30,vol_60,vol_90,vol_240,range_hl,range_co,vol_z_15,vol_z_30,vol_z_60,vol_z_90,vol_z_240,ret_skew_20,ret_kurt_20,ret_skew_60,ret_kurt_60,avg_trade_size,tickiness,trades_z_15,trades_cv_15,avg_trade_size_z_15,avg_trade_size_cv_15,trades_z_30,trades_cv_30,avg_trade_size_z_30,avg_trade_size_cv_30,trades_z_60,trades_cv_60,avg_trade_size_z_60,avg_trade_size_cv_60,trades_z_90,trades_cv_90,avg_trade_size_z_90,avg_trade_size_cv_90,trades_z_240,trades_cv_240,avg_trade_size_z_240,avg_trade_size_cv_240,fdiff_0.20,close_ema_3,close_ema_5,close_ema_15,sigma,y,t_end,ev_ret,ev_ret_short,ev_bps,w,t_end_60_1.0,ev_ret_60,ev_ret_short_60,ev_bps_60,t_end_90_1.0,ev_ret_90,ev_ret_short_90,ev_bps_90
39.26,39.26,39.26,39.26,0.0,0,2021-06-17 21:15:00+00:00,0.0,-0.008370372269724147,0.008954901851852881,,,,0.0058198425268900416,,,,,0.0,0.0,-0.6430138660734345,,,,,-0.5326623861038106,1.2683671758214576,,,,,-1.1027317516138255,0.9068388559017371,,,,,,,,,,,,,,,,,,,,39.26703215479851,39.27639244437111,39.27211159854259,,0,23,0.0,-0.0,0.0,0.0,23,0.0,-0.0,0.0,23,0.0,-0.0,0.0
39.06,39.11,39.06,39.08,11.46554,3,2021-06-17 21:30:00+00:00,-0.004595361673733311,-0.009169702559852944,0.017032669834171177,,,,0.004786157872514992,,,,,0.0012735608762098104,0.0005120327700971843,-0.5262118460229496,,,,,-0.37606417462745895,1.3033305802250965,,,3.821846666666667,0.26165361596575476,-0.12577443714661476,0.9353813182752603,,,,,,,,,,,,,,,,,,,,39.173516077399256,39.21092829624741,39.24809764872476,,0,24,0.0,-0.0,0.0,0.0,24,0.0,-0.0,0.0,24,0.0,-0.0,0.0
39.23,39.51,39.23,39.51,590.59166649,10,2021-06-17 21:45:00+00:00,0.010942977248717511,0.006092935833380775,0.022265795078982187,,,,0.0053059157624862395,,,,,0.0071647901740020765,0.007137394850879459,2.5999027027616033,,,,,-0.5436341717183721,1.3481663863409108,,,59.059166649,0.016932172543903178,1.7176840793612747,0.9498713802919615,,,,,,,,,,,,,,,,,,,,39.34175803869962,39.31061886416494,39.280835442634164,,0,25,0.0,-0.0,0.0,0.0,25,0.0,-0.0,0.0,25,0.0,-0.0,0.0
38.86,38.86,38.78,38.78,0.23571002000000002,2,2021-06-17 22:00:00+00:00,-0.018649154608793683,-0.01128217095369477,0.0036166404701885035,,,,0.007435957008589754,,,,,0.0020248038471272663,-0.00205867215645904,-0.6250388610327035,,,,,-0.6433048619485371,0.7714706726397482,,,0.11785501000000001,8.485002037673238,-0.553295802848543,0.8883592125555339,,,,,,,,,,,,,,,,,,,,39.06087901934981,39.13374590944329,39.2182310123049,,0,26,0.0,-0.0,0.0,0.0,26,0.0,-0.0,0.0,26,0.0,-0.0,0.0
38.86,38.86,38.86,38.86,0.02534,1,2021-06-17 22:15:00+00:00,0.002060794134788324,-0.01024074489902116,0.006713167478508808,,,,0.007440958499433425,,,,,0.0,0.0,-0.6181409002300815,,,,,-0.3834048300943765,1.086343369410575,,,0.02534,39.46329913180742,-0.839483287080548,0.8883592125555339,,,,,,,,,,,,,,,,,,,,38.960439509674906,39.042497272962194,39.17345213576679,,0,27,0.0,-0.0,0.0,0.0,27,0.0,-0.0,0.0,27,0.0,-0.0,0.0
38.93,38.98,38.83,38.98,16.87402866,3,2021-06-17 22:30:00+00:00,0.003083250130120785,-0.007157494768900374,-0.002562133095167063,,,,0.006732063732812662,,,,,0.003860010293360746,0.0012843565373747022,-0.4836165232047834,,,,,-0.7672946318833342,1.708569008318524,,,5.6246762200000004,0.17778801141374853,-0.229308001658059,0.9180940667888583,,,,,,,,,,,,,,,,,,,,38.97021975483745,39.021664848641464,39.14927061879594,,0,28,0.0,-0.0,0.0,0.0,28,0.0,-0.0,0.0,28,0.0,-0.0,0.0
39.22,39.22,39.22,39.22,24.0,1,2021-06-17 22:45:00+00:00,0.006138126688785661,0.0035759935936185983,0.0033201409633369927,,,,0.006927189876107311,,,,,0.0,0.0,-0.3641362684424021,-0.35409801325743395,,,,-0.9894443647251692,3.2582218328019055,,,24.0,0.041666666666666664,-0.6960339624157365,1.0056980518170386,,,-0.5135661137269715,1.7162793676254486,,,,,,,,,,,,,,,,39.09510987741872,39.087776565760976,39.158111791446444,,0,29,0.0,-0.0,0.0,0.0,29,0.0,-0.0,0.0,29,0.0,-0.0,0.0
39.26,39.53,39.26,39.53,13.857188,3,2021-06-17 23:00:00+00:00,0.00787305654039372,0.000506072885294806,0.011704968241614822,-0.018298542903051107,,,0.007196862813954691,0.008852880677457958,,,,0.006884242733299417,0.0068772287315334475,-0.3470460863436509,-0.35837644724307804,,,,-0.9591095844407627,3.008606493751108,,,4.619062666666667,0.2164941400809457,0.02249769008790433,1.010204720505591,,,-0.3280754191809194,1.8448902981084367,,,,,,,,,,,,,,,,39.31255493870936,39.23518437717399,39.20459781751563,,0,30,0.0,-0.0,0.0,0.0,30,0.0,-0.0,0.0,30,0.0,-0.0,0.0
39.18,39.18,39.18,39.18,25.13961,1,2021-06-17 23:15:00+00:00,-0.008893464792199435,0.010261762701889054,-0.005599403787493351,-0.032888617527675024,,,0.007272853473837299,0.008895135429826331,,,,0.0,0.0,-0.16115750345817498,-0.2931747840691479,,,,-0.7751269002881318,1.78503902854041,,,25.13961,0.03977786449352237,-0.5661385170722922,1.1039701082909918,,,-0.4214633503551066,2.0185533758508654,,,,,,,,,,,,,,,,39.24627746935468,39.21678958478266,39.201523090326184,,0,31,0.0,-0.0,0.0,0.0,31,0.0,-0.0,0.0,31,0.0,-0.0,0.0
39.13,39.13,39.13,39.13,3.0,1,2021-06-17 23:30:00+00:00,-0.0012769762940734175,0.006923992273027313,-0.006622540760493401,-0.022989518224698635,,,0.00727645004183328,0.00868955715905529,,,,0.0,0.0,-0.308239530169112,-0.333578929505907,,,,-0.7687926819291754,1.7688606008643273,,,3.0,0.3333333333333333,-0.5661385170722922,1.1039701082909918,,,-0.39857161556261284,2.1169344907037235,,,,,,,,,,,,,,,,39.18813873467734,39.18785972318844,39.19258270403541,,0,32,0.0,-0.0,0.0,0.0,32,0.0,-0.0,0.0,32,0.0,-0.0,0.0
