open,high,low,close,volume,trades,timestamp,ret_1,ret_5,ret_15,ret_30,ret_60,ret_90,vol_15,vol_30,vol_60,vol_90,vol_240,range_hl,range_co,vol_z_15,vol_z_30,vol_z_60,vol_z_90,vol_z_240,ret_skew_20,ret_kurt_20,ret_skew_60,ret_kurt_60,avg_trade_size,tickiness,trades_z_15,trades_cv_15,avg_trade_size_z_15,avg_trade_size_cv_15,trades_z_30,trades_cv_30,avg_trade_size_z_30,avg_trade_size_cv_30,trades_z_60,trades_cv_60,avg_trade_size_z_60,avg_trade_size_cv_60,trades_z_90,trades_cv_90,avg_trade_size_z_90,avg_trade_size_cv_90,trades_z_240,trades_cv_240,avg_trade_size_z_240,avg_trade_size_cv_240,fdiff_0.20,close_ema_3,close_ema_5,close_ema_15,sigma,y,t_end,ev_ret,ev_ret_short,ev_bps,w,t_end_60_1.0,ev_ret_60,ev_ret_short_60,ev_bps_60,t_end_90_1.0,ev_ret_90,ev_ret_short_90,ev_bps_90
40.23,40.57,40.15,40.49,990.58039295,56,2021-06-17 15:30:00+00:00,,,,,,,,,,,,,0.0064628386776039055,,,,,,,,,,17.68893558839286,0.05653251406806981,,,,,,,,,,,,,,,,,,,,,,40.49,40.49,40.49,,0,0,0.0,-0.0,0.0,0.0,0,0.0,-0.0,0.0,0,0.0,-0.0,0.0
40.15,40.15,39.65,39.65,93.20407064,20,2021-06-17 16:00:00+00:00,-0.020964081963212866,,,,,,,,,,,0.012348728081007655,-0.012453300124533002,,,,,,,,,,4.660203532,0.21458290247053527,,,,,,,,,,,,,,,,,,,,,,40.07,40.21000000000001,40.385,,0,1,0.0,-0.0,0.0,0.0,1,0.0,-0.0,0.0,1,0.0,-0.0,0.0
39.68,39.88,39.5,39.51,165.40962199,15,2021-06-17 16:30:00+00:00,-0.003537143657557529,,,,,,,,,,,0.009583858764186697,-0.00428427419354843,,,,,,,,,,11.027308132666667,0.09068396275584766,,,,,,,,,,,,,,,,,,,,,,39.79,39.976666666666674,40.275625,,0,2,0.0,-0.0,0.0,0.0,2,0.0,-0.0,0.0,2,0.0,-0.0,0.0
39.45,39.46,38.3,38.3,2706.72698913,83,2021-06-17 17:00:00+00:00,-0.031103908236699063,,,,,,,,,,,0.029359655783346084,-0.029150823827630054,,,,,,,,,,32.61116854373494,0.030664341225886977,,,,,,,,,,,,,,,,,,,,,,39.045,39.417777777777786,40.028671875,,0,3,0.0,-0.0,0.0,0.0,3,0.0,-0.0,0.0,3,0.0,-0.0,0.0
38.46,38.91,38.42,38.42,200.01068836000002,11,2021-06-17 17:30:00+00:00,0.0031282611538103744,,,,,,,,,,,0.012793733681462008,-0.0010400416016640443,,,,,,,,,,18.182789850909092,0.05499706085807303,,,,,,,,,,,,,,,,,,,,,,38.7325,39.085185185185196,39.827587890625004,,0,4,0.0,-0.0,0.0,0.0,4,0.0,-0.0,0.0,4,0.0,-0.0,0.0
38.54,38.67,38.54,38.64,49.0,4,2021-06-17 18:00:00+00:00,0.0057098520039065015,-0.04676702069975258,,,,,,,,,,0.0033836543466944963,0.002594706798131848,,,,,,,,,,12.25,0.08163265306122448,,,,,,,,,,,,,,,,,,,,,,38.68625,38.9367901234568,39.679139404296876,,0,5,0.0,-0.0,0.0,0.0,5,0.0,-0.0,0.0,5,0.0,-0.0,0.0
38.6,39.08,38.6,39.08,138.9002,6,2021-06-17 18:30:00+00:00,0.011322817830264675,-0.01448012090627504,,,,,,,,,,0.012422360248447124,0.01243523316062168,,,,,,,,,,23.150033333333337,0.04319648207849952,,,,,,,,,,,,,,,,,,,,,,38.883125,38.984526748971206,39.60424697875977,,0,6,0.0,-0.0,0.0,0.0,6,0.0,-0.0,0.0,6,0.0,-0.0,0.0
38.95,39.09,38.91,39.07,508.04035672000003,17,2021-06-17 19:00:00+00:00,-0.0002559181076025041,-0.011198895356320016,,,,,,,,,,0.004605936540430062,0.003080872913992232,,,,,,,,,,29.884726865882357,0.033461908636067926,,,,,,,,,,,,,,,,,,,,,,38.9765625,39.01301783264748,39.5374661064148,,0,7,0.0,-0.0,0.0,0.0,7,0.0,-0.0,0.0,7,0.0,-0.0,0.0
38.96,39.42,38.96,39.39,416.48311,6,2021-06-17 19:30:00+00:00,0.00815706791583537,0.028062080796214417,,,,,,,,,,0.011773739442027153,0.011036960985626275,,,,,,,,,,69.41385166666667,0.014406346514268009,,,,,,,,,,,,,,,,,,,,,,39.18328125,39.13867855509832,39.519032843112946,,0,8,0.0,-0.0,0.0,0.0,8,0.0,-0.0,0.0,8,0.0,-0.0,0.0
38.86,39.59,38.77,39.44,38.094757109999996,12,2021-06-17 20:00:00+00:00,0.0012685527516200779,0.02620237239402412,,,,,,,,,,0.020817466362020823,0.014925373134328315,,,,,,,,,,3.1745630924999997,0.3150039771969031,,,,,,,,,,,,,,,,,,,,,,39.311640624999995,39.23911903673222,39.50915373772383,,0,9,0.0,-0.0,0.0,0.0,9,0.0,-0.0,0.0,9,0.0,-0.0,0.0
