ts,price,action,delta_units,pos_units,score,ev_bps,latency_ms,killswitch
2021-06-17 18:09:00+00:00,38.57,HOLD,0.0,0.0,0.0,0.0,21,False
2021-06-17 18:13:00+00:00,38.67,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 18:14:00+00:00,38.64,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 18:31:00+00:00,38.6,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 18:45:00+00:00,38.95,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 18:57:00+00:00,39.08,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 19:00:00+00:00,38.91,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 19:03:00+00:00,39.0,HOLD,0.0,0.0,0.0,0.0,19,False
2021-06-17 19:05:00+00:00,38.99,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 19:11:00+00:00,39.09,HOLD,0.0,0.0,0.0,0.0,21,False
2021-06-17 19:15:00+00:00,39.07,HOLD,0.0,0.0,0.0,0.0,22,False
2021-06-17 19:17:00+00:00,38.95,HOLD,0.0,0.0,0.0,0.0,22,False
2021-06-17 19:20:00+00:00,39.08,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 19:21:00+00:00,39.07,HOLD,0.0,0.0,0.0,0.0,20,False
2021-06-17 19:31:00+00:00,38.96,HOLD,0.0,0.0,0.0,-6.0,19,False
2021-06-17 19:36:00+00:00,39.12,HOLD,0.0,0.0,0.0023114442948387395,-5.976885557051612,19,False
2021-06-17 19:39:00+00:00,39.42,SELL,-0.00025955763542860784,-0.00025955763542860784,0.008441969194714028,-5.91558030805286,19,False
2021-06-17 19:43:00+00:00,39.4,SELL,-2.169601692835312e-06,-0.00026172723712144315,0.013098396758803624,-5.869016032411964,19,False
2021-06-17 19:49:00+00:00,39.39,SELL,-2.7573841543496484e-06,-0.0002644846212757928,0.01665234195369872,-5.833476580463013,19,False
2021-06-17 20:02:00+00:00,38.81,BUY,6.25209209271679e-05,-0.0002019637003486249,0.011275681154219067,-5.887243188457809,19,False
2021-06-17 20:03:00+00:00,38.77,SELL,-4.982498490024352e-06,-0.00020694619883864925,0.00606239692651379,-5.939376030734862,19,False
2021-06-17 20:05:00+00:00,38.83,SELL,-4.140675283782394e-06,-0.00021108687412243164,0.0026539473272242965,-5.973460526727757,19,False
2021-06-17 20:12:00+00:00,39.34,BUY,2.9692693577323883e-05,-0.00018139418054510776,0.007206470520628948,-5.927935294793711,19,False
2021-06-17 20:14:00+00:00,39.59,BUY,4.993275192131328e-06,-0.00017640090535297643,0.014383306059853418,-5.856166939401466,19,False
2021-06-17 20:17:00+00:00,39.49,SELL,-7.067490925522868e-07,-0.00017710765444552872,0.018774168918761255,-5.812258310812387,19,False
2021-06-17 20:18:00+00:00,39.44,SELL,-1.8941400145002169e-06,-0.00017900179446002893,0.02150194541882507,-5.78498054581175,19,False
2021-06-17 20:36:00+00:00,39.27,SELL,-2.672158773978561e-07,-0.0001792690103374268,0.021218006868240512,-5.787819931317594,19,False
2021-06-17 20:45:00+00:00,39.22,SELL,-3.117085308893539e-06,-0.00018238609564632033,0.020085128154317927,-5.799148718456821,19,False
2021-06-17 21:04:00+00:00,39.26,SELL,-3.0593239816321027e-06,-0.00018544541962795243,0.019573798675736023,-5.8042620132426395,19,False
2021-06-17 21:35:00+00:00,39.06,BUY,1.4990939534978345e-07,-0.00018529551023260265,0.016257200594260817,-5.837427994057392,19,False
2021-06-17 21:39:00+00:00,39.11,SELL,-3.5377074041855394e-06,-0.0001888332176367882,0.014086981551954484,-5.859130184480455,19,False
2021-06-17 21:43:00+00:00,39.08,SELL,-3.80872943727984e-06,-0.00019264194707406803,0.011829541861569513,-5.881704581384305,19,False
2021-06-17 21:45:00+00:00,39.23,SELL,-4.790092908919287e-07,-0.00019312095636495996,0.012036961253433615,-5.879630387465664,19,False
2021-06-17 21:46:00+00:00,39.51,BUY,6.946416190064072e-06,-0.00018617454017489589,0.01608452880511648,-5.839154711948835,19,False
2021-06-17 22:08:00+00:00,38.86,BUY,2.9970477677163706e-05,-0.00015620406249773218,0.010209922681781534,-5.897900773182185,19,False
2021-06-17 22:13:00+00:00,38.78,SELL,-3.872522747460044e-06,-0.00016007658524519222,0.0040037818103054856,-5.9599621818969455,19,False
2021-06-17 22:24:00+00:00,38.86,SELL,-3.3140952512028695e-06,-0.0001633906804963951,8.995810302384105e-05,-5.999100418969761,19,False
2021-06-17 22:32:00+00:00,38.93,SELL,-2.985571500662115e-06,-0.0001663762519970572,-0.0020587239919868353,-6.020587239919869,19,False
2021-06-17 22:35:00+00:00,38.83,SELL,-2.934216036343392e-06,-0.0001693104680334006,-0.00525473279165038,-6.052547327916503,19,False
2021-06-17 22:44:00+00:00,38.98,SELL,-1.1880862447600344e-06,-0.00017049855427816063,-0.0056065688134270385,-6.056065688134271,19,False
2021-06-17 22:59:00+00:00,39.22,BUY,2.470358468765517e-06,-0.00016802819580939512,-0.0023791193461878716,-6.023791193461879,19,False
2021-06-17 23:02:00+00:00,39.26,SELL,-1.7993721578918255e-06,-0.00016982756796728694,0.0008030364053004757,-5.991969635946996,19,False
2021-06-17 23:07:00+00:00,39.33,SELL,-1.4355392435936958e-06,-0.00017126310721088064,0.004378539630594058,-5.956214603694059,19,False
2021-06-17 23:09:00+00:00,39.53,BUY,1.9656119759608862e-06,-0.00016929749523491975,0.01007649397540717,-5.899235060245928,19,False
2021-06-17 23:24:00+00:00,39.18,BUY,6.257421276216268e-06,-0.00016304007395870348,0.009738417482652703,-5.902615825173473,19,False
2021-06-17 23:44:00+00:00,39.13,SELL,-2.8707921293661743e-06,-0.00016591086608806966,0.008619661648689284,-5.913803383513107,19,False
2021-06-18 00:03:00+00:00,39.14,SELL,-3.017595005412577e-06,-0.00016892846109348224,0.007789849799978338,-5.922101502000217,20,False
2021-06-18 00:04:00+00:00,39.16,SELL,-2.933172275559751e-06,-0.000171861633369042,0.007354236065537731,-5.926457639344623,19,False
2021-06-18 00:05:00+00:00,39.13,SELL,-3.0547822681616533e-06,-0.00017491641563720364,0.006529800444987901,-5.934701995550121,20,False
2021-06-18 00:10:00+00:00,39.18,SELL,-2.716241509448283e-06,-0.00017763265714665192,0.0065288623868919905,-5.93471137613108,20,False
2021-06-18 00:24:00+00:00,39.18,SELL,-2.996282257236582e-06,-0.0001806289394038885,0.0064938677098582125,-5.935061322901418,28,False
