iter	Passed	Remaining
424	2087	2823
425	2091	2818
426	2095	2812
427	2100	2806
428	2105	2802
429	2110	2797
430	2115	2792
431	2119	2787
432	2124	2781
433	2129	2776
434	2134	2772
435	2138	2766
436	2143	2761
437	2148	2756
438	2152	2751
439	2157	2745
440	2162	2741
441	2167	2735
442	2171	2729
443	2175	2723
444	2179	2718
445	2184	2713
446	2188	2708
447	2193	2702
448	2198	2697
449	2202	2691
450	2207	2686
451	2211	2681
452	2216	2676
453	2220	2670
454	2225	2665
455	2230	2661
456	2235	2655
457	2239	2650
458	2243	2644
459	2248	2639
460	2252	2633
461	2257	2628
462	2262	2623
463	2266	2617
464	2271	2612
465	2275	2607
466	2280	2602
467	2284	2597
468	2289	2591
469	2294	2586
470	2298	2581
471	2302	2576
472	2307	2571
473	2313	2566
474	2317	2561
475	2321	2555
476	2326	2550
477	2331	2545
478	2335	2540
479	2340	2535
480	2344	2529
481	2349	2524
482	2353	2519
483	2358	2514
484	2362	2508
485	2366	2503
486	2371	2498
487	2376	2493
488	2380	2487
489	2385	2482
490	2389	2477
491	2394	2472
492	2398	2467
493	2402	2461
494	2408	2456
495	2412	2451
496	2417	2446
497	2422	2441
498	2426	2436
499	2430	2430
500	2435	2426
501	2441	2421
502	2445	2416
503	2450	2411
504	2455	2406
505	2459	2401
506	2464	2396
507	2469	2391
508	2473	2386
509	2478	2381
510	2483	2376
511	2488	2371
512	2493	2367
513	2498	2362
514	2503	2358
515	2508	2352
516	2513	2348
517	2518	2343
518	2522	2338
519	2527	2332
520	2531	2327
521	2535	2322
522	2540	2317
523	2545	2311
524	2549	2306
525	2554	2301
526	2558	2296
527	2562	2291
528	2567	2285
529	2572	2281
530	2576	2276
531	2581	2270
532	2585	2265
533	2589	2260
534	2594	2254
535	2598	2249
536	2603	2244
537	2607	2239
538	2612	2234
539	2617	2229
540	2621	2224
541	2626	2219
542	2637	2219
543	2643	2215
544	2650	2212
545	2656	2208
546	2662	2204
547	2667	2200
548	2672	2195
549	2678	2191
550	2683	2186
551	2687	2181
552	2691	2175
553	2696	2170
554	2701	2165
555	2705	2160
556	2709	2154
557	2714	2150
558	2718	2144
559	2723	2139
560	2727	2134
561	2732	2129
562	2736	2124
563	2741	2119
564	2745	2113
565	2750	2108
566	2754	2103
567	2758	2098
568	2763	2092
569	2767	2087
570	2771	2082
571	2776	2077
572	2780	2072
573	2785	2067
574	2789	2062
575	2794	2057
576	2798	2051
577	2803	2046
578	2807	2041
579	2812	2036
580	2816	2031
581	2821	2026
582	2825	2021
583	2830	2016
584	2835	2011
585	2839	2005
586	2843	2000
587	2848	1995
588	2852	1990
589	2857	1985
590	2862	1980
591	2866	1975
592	2870	1970
593	2875	1965
594	2880	1960
595	2884	1955
596	2889	1950
597	2894	1945
598	2898	1940
599	2903	1935
600	2907	1930
601	2911	1924
602	2915	1919
603	2920	1914
604	2925	1909
605	2929	1904
606	2933	1899
607	2938	1894
608	2943	1889
609	2948	1885
610	2953	1880
611	2957	1875
612	2962	1870
613	2967	1865
614	2971	1860
615	2976	1855
616	2980	1850
617	2985	1845
618	2990	1840
619	2994	1835
620	2998	1830
621	3003	1825
622	3007	1819
623	3011	1814
624	3016	1809
625	3021	1804
626	3026	1800
627	3030	1794
628	3034	1789
629	3038	1784
630	3043	1779
631	3047	1774
632	3052	1769
633	3056	1764
634	3061	1759
635	3065	1754
636	3069	1749
637	3073	1744
638	3078	1739
639	3083	1734
640	3088	1729
641	3093	1724
642	3097	1719
643	3101	1714
644	3106	1709
645	3111	1705
646	3116	1700
647	3120	1695
648	3125	1690
649	3129	1685
650	3133	1680
651	3138	1675
652	3143	1670
653	3147	1665
654	3151	1659
655	3156	1655
656	3160	1650
657	3164	1645
658	3169	1640
659	3174	1635
660	3179	1630
661	3183	1625
662	3187	1620
663	3192	1615
664	3196	1610
665	3201	1605
666	3206	1600
667	3210	1595
668	3216	1591
669	3220	1586
670	3224	1581
671	3229	1576
672	3233	1571
673	3237	1566
674	3242	1561
675	3247	1556
676	3251	1551
677	3256	1546
678	3261	1541
679	3265	1536
680	3269	1531
681	3274	1526
682	3278	1521
683	3282	1516
684	3287	1511
685	3292	1506
686	3296	1501
687	3301	1497
688	3306	1492
689	3310	1487
690	3315	1482
691	3319	1477
692	3323	1472
693	3327	1467
694	3332	1462
695	3337	1457
696	3341	1452
697	3346	1447
698	3351	1443
