t_long,t_short,total_return,trades,avg_per_trade,max_drawdown,used_mapper,diag
0.9249999999999999,0.325,0.19470254207997584,730,0.00026671581106846,0.0,True,"{'base': {'long': 31, 'short': 149, 'trades': 180}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 38, 'short': 692, 'trades': 730}, 'combine_mode': 'union'}"
0.8999999999999999,0.375,0.19470254207997584,730,0.00026671581106846,0.0,True,"{'base': {'long': 31, 'short': 149, 'trades': 180}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 38, 'short': 692, 'trades': 730}, 'combine_mode': 'union'}"
0.875,0.375,0.19470254207997584,730,0.00026671581106846,0.0,True,"{'base': {'long': 31, 'short': 149, 'trades': 180}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 38, 'short': 692, 'trades': 730}, 'combine_mode': 'union'}"
0.875,0.35000000000000003,0.19470254207997584,730,0.00026671581106846,0.0,True,"{'base': {'long': 31, 'short': 149, 'trades': 180}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 38, 'short': 692, 'trades': 730}, 'combine_mode': 'union'}"
0.85,0.375,0.19470254207997584,730,0.00026671581106846,0.0,True,"{'base': {'long': 31, 'short': 149, 'trades': 180}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 38, 'short': 692, 'trades': 730}, 'combine_mode': 'union'}"
0.9249999999999999,0.35000000000000003,0.19470254207997584,730,0.00026671581106846,0.0,True,"{'base': {'long': 31, 'short': 149, 'trades': 180}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 38, 'short': 692, 'trades': 730}, 'combine_mode': 'union'}"
0.9249999999999999,0.375,0.19470254207997584,730,0.00026671581106846,0.0,True,"{'base': {'long': 31, 'short': 149, 'trades': 180}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 38, 'short': 692, 'trades': 730}, 'combine_mode': 'union'}"
0.95,0.35000000000000003,0.19470254207997584,730,0.00026671581106846,0.0,True,"{'base': {'long': 31, 'short': 149, 'trades': 180}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 38, 'short': 692, 'trades': 730}, 'combine_mode': 'union'}"
0.95,0.325,0.19470254207997584,730,0.00026671581106846,0.0,True,"{'base': {'long': 31, 'short': 149, 'trades': 180}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 38, 'short': 692, 'trades': 730}, 'combine_mode': 'union'}"
0.725,0.35000000000000003,0.1905547070538149,791,0.0002409035487406003,0.0,True,"{'base': {'long': 99, 'short': 149, 'trades': 248}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 99, 'short': 692, 'trades': 791}, 'combine_mode': 'union'}"
0.725,0.375,0.1905547070538149,791,0.0002409035487406003,0.0,True,"{'base': {'long': 99, 'short': 149, 'trades': 248}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 99, 'short': 692, 'trades': 791}, 'combine_mode': 'union'}"
0.725,0.325,0.1905547070538149,791,0.0002409035487406003,0.0,True,"{'base': {'long': 99, 'short': 149, 'trades': 248}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 99, 'short': 692, 'trades': 791}, 'combine_mode': 'union'}"
0.625,0.35000000000000003,0.1887948316099642,794,0.00023777686600751156,0.0,True,"{'base': {'long': 102, 'short': 149, 'trades': 251}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 102, 'short': 692, 'trades': 794}, 'combine_mode': 'union'}"
0.65,0.325,0.1887948316099642,794,0.00023777686600751156,0.0,True,"{'base': {'long': 102, 'short': 149, 'trades': 251}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 102, 'short': 692, 'trades': 794}, 'combine_mode': 'union'}"
0.625,0.375,0.1887948316099642,794,0.00023777686600751156,0.0,True,"{'base': {'long': 102, 'short': 149, 'trades': 251}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 102, 'short': 692, 'trades': 794}, 'combine_mode': 'union'}"
0.625,0.325,0.1887948316099642,794,0.00023777686600751156,0.0,True,"{'base': {'long': 102, 'short': 149, 'trades': 251}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 102, 'short': 692, 'trades': 794}, 'combine_mode': 'union'}"
0.65,0.35000000000000003,0.1887948316099642,794,0.00023777686600751156,0.0,True,"{'base': {'long': 102, 'short': 149, 'trades': 251}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 102, 'short': 692, 'trades': 794}, 'combine_mode': 'union'}"
0.65,0.375,0.1887948316099642,794,0.00023777686600751156,0.0,True,"{'base': {'long': 102, 'short': 149, 'trades': 251}, 'mapper': {'long': 22, 'short': 602, 'trades': 624}, 'combo': {'long': 102, 'short': 692, 'trades': 794}, 'combine_mode': 'union'}"
