fold,auc,pr_auc,brier,count
0,0.5192562694135022,0.58388349183836,0.31473398866803304,2790
1,0.5637100886559244,0.5048084391543011,0.2497161035950772,2790
2,0.549644430902903,0.49692566462208765,0.2460533407224305,2791
