fold,auc,pr_auc,brier,count
0,0.5278186170483676,0.5137229401635899,0.2562801756994662,1882
1,0.5341264033311209,0.49883380317030923,0.24978543369658027,1882
2,0.5073814089394147,0.4446396372118451,0.2506829968137532,1883
