timestamp,prob_long,action,ev_ret_90
2021-07-05 15:19:00+00:00,0.8493135563,0,0.0064200550290431
2021-07-05 15:27:00+00:00,0.8493135563,0,-0.0069866342648846
2021-07-05 15:29:00+00:00,0.8493135563,1,-0.0063829787234043
2021-07-05 15:34:00+00:00,0.8493135563,1,0.003670847353931
2021-07-05 15:37:00+00:00,0.8493135563,0,0.0067134574305767
2021-07-05 15:38:00+00:00,0.5614311249,0,0.0054861322767449
2021-07-05 15:43:00+00:00,0.5614311249,0,-0.002728099424068
2021-07-05 15:47:00+00:00,0.7102137633,0,-0.0027239709443097
2021-07-05 15:52:00+00:00,0.5614311249,0,-0.0027256208358571
2021-07-05 15:54:00+00:00,0.8493135563,0,-0.0033353547604608
2021-07-05 15:57:00+00:00,0.8493135563,0,-0.0027305825242719
2021-07-05 16:04:00+00:00,0.6815208645,0,-0.0027272727272728
2021-07-05 16:06:00+00:00,0.8493135563,0,-0.0042488619119879
2021-07-05 16:07:00+00:00,0.5614311249,0,0.0027322404371585
2021-07-05 16:13:00+00:00,0.8493135563,0,-0.0027272727272728
2021-07-05 16:14:00+00:00,0.8493135563,0,-0.0027272727272728
2021-07-05 16:16:00+00:00,0.5614311249,0,-0.0030293850348379
2021-07-05 16:21:00+00:00,0.5614311249,0,-0.0027256208358571
2021-07-05 16:23:00+00:00,0.5614311249,0,-0.0030275507114744
2021-07-05 16:27:00+00:00,0.5614311249,0,-0.0033353547604608
2021-07-05 16:31:00+00:00,0.5614311249,0,0.0030367446097783
2021-07-05 16:32:00+00:00,0.8354548497,0,0.0027322404371585
2021-07-05 16:34:00+00:00,0.5614311249,0,0.0036463081130357
2021-07-05 16:35:00+00:00,0.8493135563,0,0.0039513677811551
2021-07-05 16:36:00+00:00,0.8493135563,0,0.0036463081130357
2021-07-05 16:37:00+00:00,0.8493135563,1,0.0033414337788577
2021-07-05 16:39:00+00:00,0.5614311249,0,0.0027322404371585
2021-07-05 16:44:00+00:00,0.5614311249,0,0.0027380590203833
2021-07-05 16:48:00+00:00,0.5614311249,0,0.0039513677811551
2021-07-05 16:49:00+00:00,0.5614311249,0,-0.0027305825242719
2021-07-05 16:53:00+00:00,0.5614311249,0,-0.0030275507114744
2021-07-05 16:59:00+00:00,0.8493135563,0,0.0030367446097783
2021-07-05 17:00:00+00:00,0.5614311249,0,0.0036463081130357
2021-07-05 17:01:00+00:00,0.5614311249,0,0.0036463081130357
2021-07-05 17:02:00+00:00,0.5614311249,0,0.0036463081130357
2021-07-05 17:09:00+00:00,0.5614311249,0,-0.0048440811383592
2021-07-05 17:18:00+00:00,0.5614311249,0,-0.0030330603579011
2021-07-05 17:25:00+00:00,0.8493135563,0,-0.0057803468208091
2021-07-05 17:26:00+00:00,0.5614311249,0,-0.0057803468208091
2021-07-05 17:31:00+00:00,0.5614311249,0,-0.0057803468208091
2021-07-05 17:32:00+00:00,0.5614311249,0,-0.0039622066443157
2021-07-05 17:33:00+00:00,0.5614311249,0,-0.0027539779681761
