decile,count,mean_long_after_cost,sharpe_long_after_cost
0,838,0.004950144075678326,0.1853713001817
1,837,0.005042836308472504,0.19666785053669136
2,837,0.00060709519665635,0.0334141719813667
3,837,-0.0009152319051936674,-0.0544633186535134
4,837,-0.00018896893630965136,-0.009390197930461803
5,845,0.0015304932354993346,0.07177984245180924
6,830,-0.003349462341634873,-0.11813226282187111
7,864,0.0024138027357335397,0.10247895500170875
8,811,0.005732833241227283,0.2310208930716888
9,835,0.004066010911623525,0.144847867153045
