decile,count,mean_long_after_cost,sharpe_long_after_cost
0,2112,-0.0021212810055348213,-0.0659359128821873
1,2112,0.002005054172038999,0.06477204944992151
2,2112,0.0015887145345753226,0.05252040531872114
3,2112,0.002977439644985122,0.08125943236649825
4,2112,0.0005171367882047753,0.018962610432026752
5,2111,-0.0012000117550171276,-0.046344507642652785
6,2112,0.0013264030019078277,0.0499124285772229
7,2112,0.004703115607492036,0.13071561271151486
8,2112,-6.314766160221896e-05,-0.0017831394993717696
9,2112,0.005348528258264388,0.12190468726726547
