t_long,t_short,total_return,trades,avg_per_trade,max_drawdown,equity,used_mapper,diag
0.005,0.005,-2.258596778274775,20919,-0.00010796867815262561,-13.344791404709126,,True,"{'base': {'long': 14679, 'short': 6240, 'trades': 20919}, 'mapper': {'long': 943, 'short': 10324, 'trades': 11267}, 'combo': {'long': 14679, 'short': 6240, 'trades': 20919}, 'combine_mode': 'union'}"
0.01,0.01,-2.4667270430533357,20919,-0.00011791801917172598,-13.059194473579495,,True,"{'base': {'long': 14593, 'short': 6326, 'trades': 20919}, 'mapper': {'long': 943, 'short': 10324, 'trades': 11267}, 'combo': {'long': 14593, 'short': 6326, 'trades': 20919}, 'combine_mode': 'union'}"
0.01,0.005,-2.6173349634134446,20907,-0.00012518940849540563,-13.059194473579506,,True,"{'base': {'long': 14593, 'short': 6240, 'trades': 20833}, 'mapper': {'long': 943, 'short': 10324, 'trades': 11267}, 'combo': {'long': 14593, 'short': 6314, 'trades': 20907}, 'combine_mode': 'union'}"
0.015,0.01,-3.4731323231064195,20910,-0.00016609910679609853,-13.100325970412978,,True,"{'base': {'long': 14552, 'short': 6326, 'trades': 20878}, 'mapper': {'long': 943, 'short': 10324, 'trades': 11267}, 'combo': {'long': 14552, 'short': 6358, 'trades': 20910}, 'combine_mode': 'union'}"
0.015,0.015,-3.5909957404956696,20919,-0.00017166192172167263,-13.100325970412964,,True,"{'base': {'long': 14552, 'short': 6367, 'trades': 20919}, 'mapper': {'long': 943, 'short': 10324, 'trades': 11267}, 'combo': {'long': 14552, 'short': 6367, 'trades': 20919}, 'combine_mode': 'union'}"
0.015,0.005,-3.6237402434665285,20898,-0.0001734012940696014,-13.100325970412962,,True,"{'base': {'long': 14552, 'short': 6240, 'trades': 20792}, 'mapper': {'long': 943, 'short': 10324, 'trades': 11267}, 'combo': {'long': 14552, 'short': 6346, 'trades': 20898}, 'combine_mode': 'union'}"
0.39,0.39,-3.7242656961109133,20919,-0.00017803268302074254,-8.693897819029452,,True,"{'base': {'long': 8455, 'short': 12464, 'trades': 20919}, 'mapper': {'long': 943, 'short': 10324, 'trades': 11267}, 'combo': {'long': 8455, 'short': 12464, 'trades': 20919}, 'combine_mode': 'union'}"
0.435,0.39,-3.8642507584090784,19678,-0.00019637416192748642,-7.231885819675688,,True,"{'base': {'long': 6163, 'short': 12464, 'trades': 18627}, 'mapper': {'long': 943, 'short': 10324, 'trades': 11267}, 'combo': {'long': 6163, 'short': 13515, 'trades': 19678}, 'combine_mode': 'union'}"
0.39,0.38,-3.8786622549450134,20669,-0.00018765601891455871,-8.757024709616553,,True,"{'base': {'long': 8455, 'short': 11951, 'trades': 20406}, 'mapper': {'long': 943, 'short': 10324, 'trades': 11267}, 'combo': {'long': 8455, 'short': 12214, 'trades': 20669}, 'combine_mode': 'union'}"
0.78,0.67,-3.9296490096349377,20747,-0.0001894080594608829,-8.642901384491546,,True,"{'base': {'long': 111, 'short': 20385, 'trades': 20496}, 'mapper': {'long': 943, 'short': 10324, 'trades': 11267}, 'combo': {'long': 362, 'short': 20385, 'trades': 20747}, 'combine_mode': 'union'}"
